zip_code,city,county
55001,Afton,Washington
55003,Bayport,Washington
55005,Bethel,Anoka
55006,Braham,Isanti
55007,Brook,Park
55008,Cambridge,Isanti
55009,Cannon,Falls
55011,Cedar,Anoka
55012,Center,City
55013,Chisago,City
55014,Circle,Pines
55016,Cottage,Grove
55017,Dalbo,Isanti
55018,Dennison,Goodhue
55019,Dundas,Rice
55020,Elko,New
55021,Faribault,Rice
55024,Farmington,Dakota
55025,Forest,Lake
55026,Frontenac,Goodhue
55027,Goodhue,Goodhue
55030,Grasston,Pine
55031,Hampton,Dakota
55032,Harris,Chisago
55033,Hastings,Dakota
55036,Henriette,Pine
55037,Hinckley,Pine
55038,Hugo,Washington
55040,Isanti,Isanti
55041,Lake,City
55042,Lake,Elmo
55043,Lakeland,Washington
55044,Lakeville,Dakota
55045,Lindstrom,Chisago
55046,Lonsdale,Rice
55047,Marine,On
55049,Medford,Steele
55049,Medford,Steele
55051,Mora,Kanabec
55052,Morristown,Rice
55053,Nerstrand,Rice
55054,Elko,New
55055,Newport,Washington
55056,North,Branch
55057,Northfield,Rice
55060,Owatonna,Steele
55063,Pine,City
55065,Randolph,Dakota
55066,Red,Wing
55068,Rosemount,Dakota
55069,Rush,City
55070,Saint,Francis
55071,Saint,Paul
55072,Sandstone,Pine
55073,Scandia,Washington
55074,Shafer,Chisago
55075,South,Saint
55076,Inver,Grove
55077,Inver,Grove
55079,Stacy,Chisago
55080,Stanchfield,Isanti
55082,Stillwater,Washington
55084,Taylors,Falls
55087,Warsaw,Rice
55088,Webster,Rice
55089,Welch,Goodhue
55092,Wyoming,Chisago
55101,Saint,Paul
55102,Saint,Paul
55103,Saint,Paul
55104,Saint,Paul
55105,Saint,Paul
55106,Saint,Paul
55107,Saint,Paul
55108,Saint,Paul
55109,Saint,Paul
55110,Saint,Paul
55111,Saint,Paul
55112,Saint,Paul
55113,Saint,Paul
55114,Saint,Paul
55115,Saint,Paul
55116,Saint,Paul
55117,Saint,Paul
55118,Saint,Paul
55119,Saint,Paul
55120,Saint,Paul
55121,Saint,Paul
55122,Saint,Paul
55123,Saint,Paul
55124,Saint,Paul
55125,Saint,Paul
55126,Saint,Paul
55127,Saint,Paul
55128,Saint,Paul
55129,Saint,Paul
55130,Saint,Paul
55131,Saint,Paul
55133,Saint,Paul
55144,Saint,Paul
55145,Saint,Paul
55146,Saint,Paul
55155,Saint,Paul
55170,Saint,Paul
55301,Albertville,Wright
55302,Annandale,Wright
55303,Anoka,Anoka
55304,Andover,Anoka
55305,Hopkins,Hennepin
55307,Arlington,Sibley
55308,Becker,Sherburne
55309,Big,Lake
55310,Bird,Island
55311,Maple,Grove
55312,Brownton,Mcleod
55313,Buffalo,Wright
55313,Buffalo,Wright
55314,Buffalo,Lake
55315,Carver,Carver
55316,Champlin,Hennepin
55317,Chanhassen,Carver
55318,Chaska,Carver
55318,Chaska,Carver
55319,Clear,Lake
55320,Clearwater,Wright
55321,Cokato,Wright
55322,Cologne,Carver
55324,Darwin,Meeker
55325,Dassel,Meeker
55327,Dayton,Hennepin
55328,Delano,Wright
55329,Eden,Valley
55330,Elk,River
55331,Excelsior,Hennepin
55332,Fairfax,Renville
55333,Franklin,Renville
55334,Gaylord,Sibley
55335,Gibbon,Sibley
55336,Glencoe,Mcleod
55338,Green,Isle
55339,Hamburg,Carver
55340,Hamel,Hennepin
55341,Hanover,Wright
55341,Hanover,Wright
55342,Hector,Renville
55343,Hopkins,Hennepin
55345,Minnetonka,Hennepin
55349,Howard,Lake
55350,Hutchinson,Mcleod
55352,Jordan,Scott
55353,Kimball,Stearns
55353,Kimball,Stearns
55354,Lester,Prairie
55355,Litchfield,Meeker
55356,Long,Lake
55357,Loretto,Hennepin
55358,Maple,Lake
55359,Maple,Plain
55360,Mayer,Carver
55362,Monticello,Wright
55363,Montrose,Wright
55364,Mound,Hennepin
55367,New,Germany
55368,Norwood,Young
55369,Osseo,Hennepin
55370,Plato,Mcleod
55371,Princeton,Mille
55372,Prior,Lake
55372,Prior,Lake
55373,Rockford,Wright
55374,Rogers,Hennepin
55375,Saint,Bonifacius
55376,Saint,Michael
55376,Saint,Michael
55378,Savage,Scott
55379,Shakopee,Scott
55379,Shakopee,Scott
55381,Silver,Lake
55382,South,Haven
55384,Spring,Park
55385,Stewart,Mcleod
55386,Victoria,Carver
55387,Waconia,Carver
55387,Waconia,Carver
55388,Watertown,Carver
55389,Watkins,Meeker
55390,Waverly,Wright
55391,Wayzata,Hennepin
55395,Winsted,Mcleod
55396,Winthrop,Sibley
55397,Young,America
55398,Zimmerman,Sherburne
55401,Minneapolis,Hennepin
55402,Minneapolis,Hennepin
55403,Minneapolis,Hennepin
55404,Minneapolis,Hennepin
55405,Minneapolis,Hennepin
55406,Minneapolis,Hennepin
55407,Minneapolis,Hennepin
55408,Minneapolis,Hennepin
55409,Minneapolis,Hennepin
55410,Minneapolis,Hennepin
55411,Minneapolis,Hennepin
55412,Minneapolis,Hennepin
55413,Minneapolis,Hennepin
55414,Minneapolis,Hennepin
55415,Minneapolis,Hennepin
55416,Minneapolis,Hennepin
55417,Minneapolis,Hennepin
55418,Minneapolis,Hennepin
55419,Minneapolis,Hennepin
55420,Minneapolis,Hennepin
55421,Minneapolis,Anoka
55422,Minneapolis,Hennepin
55423,Minneapolis,Hennepin
55424,Minneapolis,Hennepin
55425,Minneapolis,Hennepin
55426,Minneapolis,Hennepin
55427,Minneapolis,Hennepin
55428,Minneapolis,Hennepin
55429,Minneapolis,Hennepin
55430,Minneapolis,Hennepin
55431,Minneapolis,Hennepin
55432,Minneapolis,Anoka
55433,Minneapolis,Anoka
55434,Minneapolis,Anoka
55435,Minneapolis,Hennepin
55436,Minneapolis,Hennepin
55437,Minneapolis,Hennepin
55438,Minneapolis,Hennepin
55439,Minneapolis,Hennepin
55441,Minneapolis,Hennepin
55442,Minneapolis,Hennepin
55443,Minneapolis,Hennepin
55444,Minneapolis,Hennepin
55445,Minneapolis,Hennepin
55446,Minneapolis,Hennepin
55447,Minneapolis,Hennepin
55448,Minneapolis,Anoka
55449,Minneapolis,Anoka
55450,Minneapolis,Hennepin
55454,Minneapolis,Hennepin
55455,Minneapolis,Hennepin
55467,Minneapolis,Hennepin
55472,Minneapolis,Hennepin
55474,Minneapolis,Hennepin
55478,Minneapolis,Hennepin
55479,Minneapolis,Hennepin
55483,Minneapolis,Hennepin
55484,Minneapolis,Hennepin
55485,Minneapolis,Hennepin
55486,Minneapolis,Hennepin
55487,Minneapolis,Hennepin
55488,Minneapolis,Hennepin
55602,Brimson,Saint
55603,Finland,Lake
55604,Grand,Marais
55605,Grand,Portage
55606,Hovland,Cook
55612,Lutsen,Cook
55613,Schroeder,Cook
55614,Silver,Bay
55615,Tofte,Cook
55616,Two,Harbors
55703,Angora,Saint
55704,Askov,Pine
55705,Aurora,Saint
55705,Aurora,Saint
55706,Babbitt,Saint
55707,Barnum,Carlton
55709,Bovey,Itasca
55711,Brookston,Saint
55712,Bruno,Pine
55718,Carlton,Carlton
55719,Chisholm,Saint
55720,Cloquet,Carlton
55721,Cohasset,Itasca
55723,Cook,Saint
55724,Cotton,Saint
55725,Crane,Lake
55726,Cromwell,Carlton
55731,Ely,Saint
55732,Embarrass,Saint
55733,Esko,Carlton
55734,Eveleth,Saint
55735,Finlayson,Pine
55736,Floodwood,Saint
55738,Forbes,Saint
55741,Gilbert,Saint
55744,Grand,Rapids
55745,Grand,Rapids
55746,Hibbing,Saint
55748,Hill,City
55749,Holyoke,Carlton
55750,Hoyt,Lakes
55751,Iron,Saint
55756,Kerrick,Pine
55757,Kettle,River
55760,Mcgregor,Aitkin
55763,Makinen,Saint
55765,Meadowlands,Saint
55767,Moose,Lake
55768,Mountain,Iron
55769,Nashwauk,Itasca
55771,Orr,Saint
55775,Pengilly,Itasca
55779,Saginaw,Saint
55780,Sawyer,Carlton
55781,Side,Lake
55783,Sturgeon,Lake
55787,Tamarack,Aitkin
55790,Tower,Saint
55792,Virginia,Saint
55793,Warba,Itasca
55795,Willow,River
55797,Wrenshall,Carlton
55798,Wright,Carlton
55802,Duluth,Saint
55803,Duluth,Saint
55804,Duluth,Saint
55805,Duluth,Saint
55806,Duluth,Saint
55807,Duluth,Saint
55808,Duluth,Saint
55810,Duluth,Saint
55811,Duluth,Saint
55812,Duluth,Saint
55901,Rochester,Olmsted
55902,Rochester,Olmsted
55904,Rochester,Olmsted
55905,Rochester,Olmsted
55906,Rochester,Olmsted
55909,Adams,Mower
55910,Altura,Winona
55912,Austin,Mower
55917,Blooming,Prairie
55918,Brownsdale,Mower
55919,Brownsville,Houston
55920,Byron,Olmsted
55921,Caledonia,Houston
55922,Canton,Fillmore
55923,Chatfield,Fillmore
55924,Claremont,Dodge
55925,Dakota,Winona
55926,Dexter,Mower
55927,Dodge,Center
55929,Dover,Olmsted
55931,Eitzen,Houston
55932,Elgin,Wabasha
55934,Eyota,Olmsted
55935,Fountain,Fillmore
55936,Grand,Meadow
55939,Harmony,Fillmore
55940,Hayfield,Dodge
55941,Hokah,Houston
55943,Houston,Houston
55944,Kasson,Dodge
55945,Kellogg,Wabasha
55946,Kenyon,Goodhue
55947,La,Crescent
55949,Lanesboro,Fillmore
55951,Le,Roy
55952,Lewiston,Winona
55953,Lyle,Mower
55954,Mabel,Fillmore
55955,Mantorville,Dodge
55956,Mazeppa,Wabasha
55957,Millville,Wabasha
55959,Minnesota,City
55960,Oronoco,Olmsted
55961,Ostrander,Fillmore
55962,Peterson,Fillmore
55963,Pine,Island
55964,Plainview,Wabasha
55965,Preston,Fillmore
55967,Racine,Mower
55969,Rollingstone,Winona
55970,Rose,Creek
55971,Rushford,Fillmore
55972,Saint,Charles
55974,Spring,Grove
55975,Spring,Valley
55976,Stewartville,Olmsted
55979,Utica,Winona
55981,Wabasha,Wabasha
55982,Waltham,Mower
55983,Wanamingo,Goodhue
55985,West,Concord
55987,Winona,Winona
55990,Wykoff,Fillmore
55991,Zumbro,Falls
55992,Zumbrota,Goodhue
56001,Mankato,Blue
56003,Mankato,Nicollet
56007,Albert,Lea
56009,Alden,Freeborn
56010,Amboy,Blue
56011,Belle,Plaine
56013,Blue,Earth
56014,Bricelyn,Faribault
56016,Clarks,Grove
56017,Cleveland,Le
56019,Comfrey,Brown
56021,Courtland,Nicollet
56023,Delavan,Faribault
56024,Eagle,Lake
56025,Easton,Faribault
56026,Ellendale,Steele
56027,Elmore,Faribault
56028,Elysian,Le
56029,Emmons,Freeborn
56031,Fairmont,Martin
56033,Frost,Faribault
56034,Garden,City
56036,Glenville,Freeborn
56037,Good,Thunder
56039,Granada,Martin
56041,Hanska,Brown
56042,Hartland,Freeborn
56043,Hayward,Freeborn
56044,Henderson,Sibley
56045,Hollandale,Freeborn
56048,Janesville,Waseca
56050,Kasota,Le
56051,Kiester,Faribault
56052,Kilkenny,Rice
56054,Lafayette,Nicollet
56055,Lake,Crystal
56057,Le,Center
56058,Le,Sueur
56060,Lewisville,Watonwan
56062,Madelia,Watonwan
56063,Madison,Lake
56065,Mapleton,Blue
56068,Minnesota,Lake
56069,Montgomery,Le
56071,New,Prague
56072,New,Richland
56073,New,Ulm
56074,Nicollet,Nicollet
56078,Pemberton,Blue
56081,Saint,James
56082,Saint,Peter
56083,Sanborn,Redwood
56085,Sleepy,Eye
56087,Springfield,Brown
56088,Truman,Martin
56089,Twin,Lakes
56090,Vernon,Center
56091,Waldorf,Waseca
56093,Waseca,Waseca
56096,Waterville,Le
56097,Wells,Faribault
56098,Winnebago,Faribault
56101,Windom,Cottonwood
56110,Adrian,Nobles
56111,Alpha,Jackson
56113,Arco,Lincoln
56114,Avoca,Murray
56115,Balaton,Lyon
56116,Beaver,Creek
56117,Bigelow,Nobles
56119,Brewster,Nobles
56120,Butterfield,Watonwan
56121,Ceylon,Martin
56122,Chandler,Murray
56123,Currie,Murray
56127,Dunnell,Martin
56128,Edgerton,Pipestone
56129,Ellsworth,Nobles
56131,Fulda,Murray
56134,Hardwick,Rock
56136,Hendricks,Lincoln
56137,Heron,Lake
56138,Hills,Rock
56141,Iona,Murray
56142,Ivanhoe,Lincoln
56143,Jackson,Jackson
56144,Jasper,Rock
56145,Jeffers,Cottonwood
56149,Lake,Benton
56150,Lakefield,Jackson
56151,Lake,Wilson
56151,Lake,Wilson
56152,Lamberton,Redwood
56155,Lismore,Nobles
56156,Luverne,Rock
56157,Lynd,Lyon
56158,Magnolia,Rock
56159,Mountain,Lake
56160,Odin,Watonwan
56161,Okabena,Jackson
56162,Ormsby,Martin
56164,Pipestone,Pipestone
56167,Round,Lake
56168,Rushmore,Nobles
56169,Russell,Lyon
56170,Ruthton,Pipestone
56171,Sherburn,Martin
56172,Slayton,Murray
56174,Storden,Cottonwood
56175,Tracy,Lyon
56176,Trimont,Martin
56178,Tyler,Lincoln
56180,Walnut,Grove
56181,Welcome,Martin
56183,Westbrook,Cottonwood
56185,Wilmont,Nobles
56186,Woodstock,Pipestone
56187,Worthington,Nobles
56201,Willmar,Kandiyohi
56207,Alberta,Stevens
56208,Appleton,Swift
56209,Atwater,Kandiyohi
56211,Beardsley,Big
56212,Bellingham,Lac
56214,Belview,Redwood
56215,Benson,Swift
56216,Blomkest,Kandiyohi
56218,Boyd,Lac
56219,Browns,Valley
56220,Canby,Yellow
56221,Chokio,Stevens
56222,Clara,City
56223,Clarkfield,Yellow
56225,Clinton,Big
56226,Clontarf,Swift
56227,Correll,Big
56228,Cosmos,Meeker
56229,Cottonwood,Lyon
56230,Danube,Renville
56231,Danvers,Swift
56232,Dawson,Lac
56235,Donnelly,Stevens
56236,Dumont,Traverse
56237,Echo,Yellow
56239,Ghent,Lyon
56240,Graceville,Big
56241,Granite,Falls
56243,Grove,City
56244,Hancock,Stevens
56245,Hanley,Falls
56248,Herman,Grant
56249,Holloway,Swift
56251,Kandiyohi,Kandiyohi
56252,Kerkhoven,Swift
56253,Lake,Lillian
56255,Lucan,Redwood
56256,Madison,Lac
56257,Marietta,Lac
56258,Marshall,Lyon
56260,Maynard,Chippewa
56262,Milan,Chippewa
56263,Milroy,Redwood
56264,Minneota,Lyon
56265,Montevideo,Chippewa
56266,Morgan,Redwood
56267,Morris,Stevens
56270,Morton,Renville
56271,Murdock,Swift
56273,New,London
56274,Norcross,Grant
56276,Odessa,Big
56277,Olivia,Renville
56278,Ortonville,Big
56279,Pennock,Kandiyohi
56280,Porter,Yellow
56281,Prinsburg,Kandiyohi
56282,Raymond,Kandiyohi
56283,Redwood,Falls
56284,Renville,Renville
56285,Sacred,Heart
56288,Spicer,Kandiyohi
56289,Sunburg,Kandiyohi
56291,Taunton,Lyon
56292,Vesta,Redwood
56293,Wabasso,Redwood
56295,Watson,Chippewa
56296,Wheaton,Traverse
56297,Wood,Lake
56301,Saint,Cloud
56301,Saint,Cloud
56301,Saint,Cloud
56303,Saint,Cloud
56303,Saint,Cloud
56303,Saint,Cloud
56304,Saint,Cloud
56307,Albany,Stearns
56308,Alexandria,Douglas
56309,Ashby,Grant
56310,Avon,Stearns
56311,Barrett,Grant
56312,Belgrade,Stearns
56314,Bowlus,Morrison
56315,Brandon,Douglas
56316,Brooten,Stearns
56318,Burtrum,Todd
56319,Carlos,Douglas
56320,Cold,Spring
56320,Cold,Spring
56323,Cyrus,Pope
56324,Dalton,Otter
56326,Evansville,Douglas
56329,Foley,Benton
56330,Foreston,Mille
56331,Freeport,Stearns
56332,Garfield,Douglas
56334,Glenwood,Pope
56336,Grey,Eagle
56339,Hoffman,Grant
56340,Holdingford,Stearns
56342,Isle,Mille
56343,Kensington,Douglas
56345,Little,Falls
56347,Long,Prairie
56349,Lowry,Pope
56350,Mc,Grath
56352,Melrose,Stearns
56353,Milaca,Mille
56354,Miltona,Douglas
56355,Nelson,Douglas
56357,Oak,Park
56358,Ogilvie,Kanabec
56359,Onamia,Mille
56360,Osakis,Douglas
56361,Parkers,Prairie
56362,Paynesville,Stearns
56364,Pierz,Morrison
56367,Rice,Benton
56368,Richmond,Stearns
56372,Saint,Cloud
56373,Royalton,Morrison
56374,Saint,Joseph
56377,Sartell,Stearns
56378,Sauk,Centre
56381,Starbuck,Pope
56382,Swanville,Morrison
56384,Upsala,Morrison
56385,Villard,Pope
56386,Wahkon,Mille
56388,Saint,Cloud
56393,Saint,Cloud
56395,Saint,Cloud
56396,Saint,Cloud
56399,Saint,Cloud
56401,Brainerd,Crow
56425,Baxter,Crow
56431,Aitkin,Aitkin
56433,Akeley,Hubbard
56434,Aldrich,Wadena
56435,Backus,Cass
56437,Bertha,Todd
56438,Browerville,Todd
56440,Clarissa,Todd
56441,Crosby,Crow
56442,Crosslake,Crow
56443,Cushing,Morrison
56444,Deerwood,Crow
56446,Eagle,Bend
56447,Emily,Crow
56448,Fifty,Lakes
56449,Fort,Ripley
56450,Garrison,Crow
56452,Hackensack,Cass
56453,Hewitt,Todd
56455,Ironton,Crow
56458,Lake,George
56461,Laporte,Hubbard
56464,Menahga,Wadena
56465,Merrifield,Crow
56465,Merrifield,Crow
56466,Motley,Morrison
56467,Nevis,Hubbard
56468,Nisswa,Crow
56469,Palisade,Aitkin
56470,Park,Rapids
56472,Pequot,Lakes
56473,Pillager,Cass
56474,Pine,River
56475,Randall,Morrison
56477,Sebeka,Wadena
56479,Staples,Wadena
56481,Verndale,Wadena
56482,Wadena,Wadena
56484,Walker,Cass
56501,Detroit,Lakes
56510,Ada,Norman
56511,Audubon,Becker
56514,Barnesville,Clay
56515,Battle,Lake
56516,Bejou,Mahnomen
56517,Beltrami,Polk
56518,Bluffton,Otter
56519,Borup,Norman
56520,Breckenridge,Wilkin
56521,Callaway,Becker
56522,Campbell,Wilkin
56523,Climax,Polk
56524,Clitherall,Otter
56527,Deer,Creek
56528,Dent,Otter
56529,Dilworth,Clay
56531,Elbow,Lake
56534,Erhard,Otter
56535,Erskine,Polk
56536,Felton,Clay
56537,Fergus,Falls
56540,Fertile,Polk
56542,Fosston,Polk
56543,Foxhome,Wilkin
56544,Frazee,Becker
56545,Gary,Norman
56546,Georgetown,Clay
56547,Glyndon,Clay
56547,Glyndon,Clay
56548,Halstad,Norman
56549,Hawley,Clay
56550,Hendrum,Norman
56551,Henning,Otter
56552,Hitterdal,Clay
56553,Kent,Wilkin
56554,Lake,Park
56556,Mcintosh,Polk
56557,Mahnomen,Mahnomen
56560,Moorhead,Clay
56562,Moorhead,Clay
56563,Moorhead,Clay
56566,Naytahwaush,Mahnomen
56567,New,York
56568,Nielsville,Polk
56569,Ogema,Becker
56570,Osage,Becker
56571,Ottertail,Otter
56572,Pelican,Rapids
56573,Perham,Otter
56574,Perley,Norman
56575,Ponsford,Becker
56576,Richville,Otter
56579,Rothsay,Wilkin
56580,Sabin,Clay
56581,Shelly,Norman
56584,Twin,Valley
56585,Ulen,Clay
56586,Underwood,Otter
56587,Vergas,Otter
56588,Vining,Otter
56589,Waubun,Becker
56590,Wendell,Grant
56592,Winger,Polk
56594,Wolverton,Wilkin
56601,Bemidji,Beltrami
56621,Bagley,Clearwater
56623,Baudette,Lake
56626,Bena,Cass
56627,Big,Falls
56628,Bigfork,Itasca
56630,Blackduck,Beltrami
56633,Cass,Lake
56634,Clearbrook,Clearwater
56636,Deer,River
56644,Gonvick,Clearwater
56646,Gully,Polk
56647,Hines,Beltrami
56649,International,Falls
56650,Kelliher,Beltrami
56651,Lengby,Mahnomen
56653,Littlefork,Koochiching
56654,Loman,Koochiching
56655,Longville,Cass
56657,Marcell,Itasca
56660,Mizpah,Koochiching
56661,Northome,Koochiching
56662,Outing,Cass
56663,Pennington,Beltrami
56667,Puposky,Beltrami
56672,Remer,Cass
56673,Roosevelt,Roseau
56676,Shevlin,Clearwater
56678,Solway,Beltrami
56680,Spring,Lake
56681,Squaw,Lake
56683,Tenstrike,Beltrami
56685,Waskish,Beltrami
56686,Williams,Lake
56701,Thief,River
56710,Alvarado,Marshall
56713,Argyle,Marshall
56714,Badger,Roseau
56715,Brooks,Red
56716,Crookston,Polk
56721,East,Grand
56723,Fisher,Polk
56725,Goodridge,Pennington
56726,Greenbush,Roseau
56727,Grygla,Marshall
56728,Hallock,Kittson
56732,Karlstad,Kittson
56733,Kennedy,Kittson
56734,Lake,Bronson
56735,Lancaster,Kittson
56736,Mentor,Polk
56737,Middle,River
56738,Newfolden,Marshall
56742,Oklee,Red
56744,Oslo,Marshall
56748,Plummer,Red
56750,Red,Lake
56751,Roseau,Roseau
56754,Saint,Hilaire
56757,Stephen,Marshall
56758,Strandquist,Marshall
56759,Strathcona,Roseau
56760,Viking,Marshall
56761,Wannaska,Roseau
56762,Warren,Marshall
56763,Warroad,Roseau
